id,author,tag,text,detail,filters,has_diagram
ip1,precursors,"Semeiotica medica","La semeiotica medica di Ippocrate è lettura inferenziale dei sintomi: il corpo è un testo da interpretare tramite indizi.","La semeiotica nasce come disciplina medica: il medico osserva sintomi (segni naturali) e inferisce la malattia. Esempio: il colorito giallastro della pelle (segno) → probabile malattia epatica (significato inferito). Non c'è equivalenza: il sintomo è punto di partenza per un ragionamento, non etichetta. Eco parte da qui per dimostrare che il modello originario del segno era l'inferenza, non l'equivalenza.","segno; interpretazione; storia",
ar1,precursors,"Equivalenza aristotelica","Il termine linguistico è equivalente alla propria definizione ed è pienamente convertibile con essa (bicondizionale).","Aristotele nelle Categorie e nei Topici instaura il modello dell'equivalenza: il termine è equivalente alla definizione per genere prossimo e differenza specifica. Esempio: «uomo» = «animale razionale» — i due sono pienamente interscambiabili. Ma questo vale solo per i termini categorematici in proposizioni assertorie, non per tutti i segni.","segno; significato; storia",
ar2,precursors,"Segno retorico","Nella Retorica il segno è sempre principio di un'inferenza: il tekmerion (necessario) e il semeion (confutabile).","Aristotele, Retorica I, 1357a: gli entimemi si traggono da verosimili e da segni. Due tipi: Tekmerion (segno necessario): «se ha latte, allora ha partorito» — non confutabile. Semeion (segno confutabile): «se respira affannosamente, allora ha la febbre» — può essere per altre cause. Il segno retorico è inferenziale, non equivalenziale. Eco nota: lo stesso Aristotele usa 'segno' in modo opposto nella Retorica e nel De Interpretatione.","segno; interpretazione; storia",
ar3,precursors,"Segno vs. indizio","Il verbo nel De Interpretatione non è segno dell'esistenza della cosa, ma indizio (sintomo) che si sta compiendo un'asserzione.","Aristotele, De Interpretatione 16b: il verbo 'essere' da solo non afferma l'esistenza. Tommaso chiarisce: la presenza del verbo è prova, indizio, sintomo che nell'enunciato si sta asserendo qualcosa — uso inferenziale/indiziale. Esempio: dire 'è' in 'Socrate è mortale' non significa che Socrate esiste qui e ora, ma segnala che si sta predicando qualcosa.","segno; storia",
st1,precursors,"Condizionale stoico","Il segno stoico è l'antecedente di un condizionale valido: «se questo fumo, allora fuoco».","Gli Stoici definiscono il segno come proposizione antecedente in un condizionale valido, che serve a rivelare il conseguente. Esempio classico: «Se c'è fumo, allora c'è fuoco». La struttura è: se p, allora q — dove p è il segno e q è il significato. Modello intrinsecamente inferenziale: il segno non 'è' il significato, ma lo implica.","segno; interpretazione; storia",condizionaleStoico
st2,precursors,"Gradi dell'implicazione","L'implicazione stoica ammette gradi: dall'equivalenza necessaria al segno ipotetico e confutabile.","Sesto Empirico distingue: segni indicativi (rivelano l'inosservabile: 'se suda, allora ha pori' — necessario) e rammemorativi (basati su esperienza: 'se una torcia, allora nemici' — convenzionale). Il gradiente va dalla massima cogenza alla minima. Esempio debole: 'se un uomo cade in povertà' → ha dissipato le ricchezze? naufragio? Molte cause possibili — segno ipotetico, quasi abduzione.","segno; codice; interpretazione; storia",
st3,precursors,"Semantica estesa stoica","Ogni categoria sintattica ha controparte semantica: anche articoli, preposizioni, congiunzioni hanno significato.","Gli Stoici: i lekta completi si compongono di lekta incompleti; tutti hanno contenuto semantico. Molto più ampio di Aristotele. Esempio: 'di' in 'il libro di Marco' esprime una relazione di possesso — non è semanticamente vuoto. Agostino lo svilupperà: «anche le preposizioni hanno significato».","significato; forma; storia",
ag1,precursors,"Modello istruzionale","Agostino introduce la lingua verbale tra i segni e fonda il modello istruzionale: il segno istruisce qualcuno su qualcosa.","Nel De Doctrina Christiana (II, 1): il segno non è equivalenza ma istruzione. Agostino distingue signa naturalia (fumo→fuoco, senza intenzione) e signa data (intenzionali, come le parole). Mossa cruciale: includere il linguaggio verbale nella teoria generale dei segni. Esempio: un soldato alza lo scudo: signum datum per comunicare qualcosa ai compagni.","segno; interpretazione; storia",
ag2,precursors,"Due livelli del segno","Il rapporto espressione↔contenuto sembra equivalenza; il rapporto proposizione→significato è implicazione. Ma è un'illusione ottica?","Eco: Agostino consegna alla tradizione un problema irrisolto — la differenza tra il rapporto denotativo (parola↔significato, che pare equivalenza) e il rapporto inferenziale (il segno come premessa di un ragionamento). «Il primo livello si regge sull'equivalenza, il secondo sull'implicazione». Ma Eco sospetta che anche il primo livello sia segretamente inferenziale.","segno; storia; interpretazione",
ag3,precursors,"Cristallizzazione","Quando la lingua diventa il modello semiotico per eccellenza, il segno si cristallizza nella forma 'piatta' dell'equivalenza.","Gradualmente, poiché la lingua è il sistema semiotico più analizzabile, il modello del segno linguistico si impone come il modello. Ma a quel punto è già cristallizzato nella forma ristretta: «incoraggiata dai dizionari e, malauguratamente, da molta logica formale» (Eco). Il coronamento è in Saussure.","segno; significato; storia",
